name,n_ephem_points,overlap_days,int_launch,int_arrival,int_c3,int_tof_days,int_vinf_arrival,fly_launch,fly_arrival,fly_vinf,fly_tof_days,fly_standoff_km,fly_achieved_km,rdv_launch,rdv_arrival,rdv_total_dv,rdv_tof_days,next_period_available,next_period_reference,next_period1_end,next_period2_end,next_period2_capped_by_data,next_period_reachable,next_period_best_c3
(2001 CQ36),92,910.0000,2030-05-02,2031-02-01,0.4086,275.0000,5.0037,2031-02-01,2031-05-17,0.5761,105.0000,500.0000,500.0000,2030-10-29,2031-04-07,2.8590,160.0000,True,2029-07-01,2031-01-31,2031-09-18,False,True,0.4086
(2011 AA37),92,910.0000,2026-06-11,2027-01-12,0.5197,215.0000,2.2312,2026-06-26,2026-11-23,0.7443,150.0000,500.0000,500.0000,2026-06-21,2027-01-17,2.5840,210.0000,True,2025-07-01,2026-08-10,2027-12-28,True,True,0.5197
(2012 EC),92,910.0000,2027-10-29,2028-09-28,0.7502,335.0000,4.9667,2027-08-15,2028-08-14,1.0307,365.0000,500.0000,500.0000,2027-08-20,2028-08-09,2.9752,355.0000,True,2026-07-01,2028-01-10,2028-12-27,True,True,0.7502
(2013 WA44),110,1090.0000,2028-08-14,2029-05-31,0.1486,290.0000,1.5925,2028-05-16,2029-04-06,0.9463,325.0000,500.0000,500.0000,2028-07-25,2029-05-21,1.9281,300.0000,True,2027-07-01,2029-01-14,2029-06-13,False,True,0.1486
99942 Apophis (2004 MN4),162,1610.0000,2029-01-05,2029-04-15,0.0037,100.0000,5.8289,2029-04-15,2029-12-21,0.0777,250.0000,500.0000,500.0000,2029-02-09,2029-05-25,4.0885,105.0000,True,2026-01-01,2027-12-29,2028-09-12,False,True,1.0250
101955 Bennu (1999 RQ36) (2101955),220,2190.0000,2029-11-06,2030-10-22,0.8105,350.0000,5.0351,2030-09-27,2031-11-26,0.6438,425.0000,500.0000,500.0000,2030-10-22,2031-11-16,5.2980,390.0000,True,2026-01-01,2030-06-21,2031-02-18,False,True,0.8105
65803 Didymos (1996 GT),293,2920.0000,2026-02-20,2027-02-10,2.5021,355.0000,10.0304,2026-11-02,2028-11-11,1.4080,740.0000,500.0000,500.0000,2031-11-16,2033-03-25,6.2997,495.0000,False,2026-01-01,,,,,
25143 Itokawa (1998 SF36),147,1460.0000,2032-09-22,2033-05-20,0.2593,240.0000,4.1604,2030-03-27,2031-05-16,0.6789,415.0000,500.0000,500.0000,2032-10-12,2033-05-10,4.4382,210.0000,True,2030-01-01,2033-03-23,2033-12-31,True,True,0.2593
(2024 YR4),256,1819.0000,2028-04-05,2028-12-21,0.0097,260.0000,13.5123,2025-01-01,2026-10-13,0.2069,650.0000,500.0000,500.0000,2028-11-16,2029-07-29,9.6482,255.0000,True,2025-01-01,2028-12-17,2029-12-25,True,True,0.0097
162173 Ryugu (1999 JU3),183,1820.0000,2033-01-30,2033-12-06,0.0086,310.0000,4.5111,2033-12-06,2034-12-21,0.1402,380.0000,500.0000,500.0000,2033-12-16,2034-05-30,4.4185,165.0000,True,2030-01-01,2033-12-21,2034-12-26,True,True,0.0086
